time,description,camp
2026-06-05 14:00,"Blind wine tasting. Sommalier shepherd changes water into wine, before your blindfolded eyes",Ewe-Turn
2026-06-05 14:00,"Sound Bath - A Bath of Sounds. A somatic journey exploring how moistness unites us - A guided sensory meditation, leading into a bath of familiar, unfamiliar, and wet sounds.",FDK’s Raveforest Cafe
2026-06-05 14:00,"Touch Tunnel. Slip Into Something Sensory: At Touch Temple Camp downstairs (look for hand flags and red&gold circus tent), take 10 minutes for a guided journey through fire, water, air, and ground touch. Invigorating, sensory, and a little moist. Wake your boggy senses!",Touch Temple
2026-06-05 14:00,"Fix-it Station: Open for drop-ins. The place to go to help you express yourself & decommodify by fixin yer shit. We’ve got a bunch of tools (sewing, grommets, rivets, glues, tapes, + more!) and supplies to help you repair your OW finery (or just come hang out and make!)",Fix-it Station
2026-06-05 14:00,Clown Church. Time to unleash your inner fool! Come get silly and unhinged through beginner-friendly clowning and improv games.,Little Big
2026-06-05 14:00,Consent and Kink with Skylar (19+). Come learn the rules of consent for the Tanric Tavern. This general consent workshop gets you a stamp to our SOP space. The workshop will be followed by some kinky education.,Nauti Norse
2026-06-05 14:00,Temporary Tattoo/Body Adornment Station. Come get prettied up with temporary tattoos and various body adornment offerings.,Lunar Moth Camp
2026-06-05 14:00,"HANDFASTING - How to tie the knot. with
Taiya & Paul Walker. Handfasting is an ancient Celtic and Medieval ritual, called “tying the knot,” where a couple’s hands are bound together with cords or ribbons to symbolize their union, commitment, or marriage. Prepare to do the true love handfasting on Sat. 6:00pm",True Love Temple
2026-06-05 14:00,"Poi Spinning - Play space & Workshop. Swing, twirl, and whirl as you find your flow playing and learning poi at this kid friendly workshop.",Wild Things Camp
2026-06-05 14:00,"Kung Fu Tea. Slow down, breathe in the forest, and share a cup of Chinese tea. A quiet ritual for wanderers, talkers, and the gently dehydrated.",Mahjong Camp
2026-06-05 14:00,"Robot Making Workshop. Beep boop... beep beep boop. Build your own robot! Mix, match and create your robot buddy - then bring it to life! By kids, for kids!",Wild Things Camp
2026-06-05 14:00,Moonlit Tales. Facepainting and Needle-less Tattoos,Moonlit Tales
2026-06-05 14:00,"Blind Date Acro. Together we’ll learn a beginner-friendly L-base sequence... with a twist! along the way expect unexpected challenges, partner swaps, games, sensory changes, and yes… moments of doing acro blindfolded! Prerequisites: Bird, Chair, Side Star, Shoulder stand with hands on base’s legs. Please bring: A yoga mat and water bottle.",Zero Gravitas
2026-06-05 14:00,"Fun Dips & Pog Flips. The mats are out and the tubes are open! Come through for open-play Pogs, Magic, Pokémon, or board games. Enjoy some nostalgic snacks and tunes while you play.",Pogs 4 Applause
2026-06-05 14:00,"Ass Throwing. Move that body: Come move with us! No matter your physical limitations, we will explore techniques and approaches for throwing ass in a way that feels good in your body. Arrive on time to stretch or come warmed and ready.",Slut Camp
2026-06-05 14:00,Wet Tidy Whittie Contest. Flaunt your moist gennies! Wetter is better. BYOTWs. All genders welcome! Obvs! 19+,Slut Camp
2026-06-05 14:00,"Rainbow Recovery Friday 12-Step Meeting. An open, judgment- free gathering where all paths to recovery are honored. Whether you’re just beginning your journey, are sober-curious, or have been sober for years, this daily meeting is your chance to pause, breathe, and lean on your community.",The Cottage
2026-06-05 14:00,"Low Expectation Slip N Slide. Innocent MOIST fun! PSA to persons born in the 1900’s: you’re bones are vintage, slip with caution!",The Low Bar
2026-06-05 14:00,Clowning / Improv. Clowning / Improv,Tune Town Stage
2026-06-05 14:00,"Sh*t Big Sisters Say. You’ve got problems, and we’ve got opinions. So, come dish to your big sisters and we’ll give you the advice you clearly need. That’s what sisters are for. And don’t worry, we won’t tell mom. Crafts and snacks provided. Sass and snark guaranteed.","The Sisterhood of Unsolicited
Advice"
2026-06-05 14:30,"In the Sh*t-Mixer. The cocktail hour nobody asked for. A curated mix of the sh*ttiest non-hits and guilty pleasure bangers, paired with drinks that’ll make you say “why, though?” 19+, bring your cup!",Camp Wet Landing
2026-06-05 14:30,"DIY Wearable Earplugs. Fancy protecting your hearing AND being fashionable AF? Come join us to make beaded dongles/earrings for earplugs, so you’ll always have them handy! Reusable silicone earplugs and materials provided.",Fix-it Station
2026-06-05 14:30,"Touch Your Desires Conversation Cafe. At Touch Temple Camp downstairs (hand flags & red/gold circus tent), pull up a seat at this Café serving a menu of poetry, humor, bad advice, coaching, and consensual touch, all served with empathy and fun.",Touch Temple
2026-06-05 15:00,Crisis Counselling. Need some de- escalation? Feelings are feeling too big for ya? Come down to Compliment Camp and speak with our working crisis counsellor for any mental health and/or substance use crisis concerns,Compliment Camp
2026-06-05 15:00,Heartivism - love based culture and language cocreating. Come share language play and make up new words for emergent culture and make art signs too,Mother Tree
2026-06-05 15:00,"Wiener, wiener, Crib Bar zingers. Announcing OW 2025’s Highest Hand winner! Celebrate Wayne (with or without him) with drinks, snacks and terrible puns for everyone. Try your hand to help OW beat WtiF this year! Cocktail on offer: I’ll Have What Wayne’s Having. Veg/non-alc options.",Crib Bar
2026-06-05 15:00,"Healing Sessions. 1-on-1 healing sessions, including massage, reiki, sound healing, breathwork, and other modalities.",Healing Kiss
2026-06-05 15:00,Bubbles and Bubbles. Taste bubbles from around the world while you blow bubbles and learn from a master of champagne. Champagne is rife with romance and chaos so let’s involve some bubble blowing too.,Ironic Spin
2026-06-05 15:00,Tacos in the Village. Tacos at ITTAKESA Village! Two camps team up to host the best taco party eva!,Ittakesa Village
2026-06-05 15:00,"The 14th Anniversary Party. The 14th Anniversary Party: Bohemian style tea and cookies oasis is celebrating its 14th anniversary on Friday! Join us for a dance, cocktail (while quantaties last) or tea and homemade cookies.",The Empress
2026-06-05 15:00,"Origami Luck Workshop - Kid Friendly. Fold a tiny charm of luck, gift it to a stranger, or keep it as your forest talisman. All ages and skill levels welcome.",Mahjong Camp
2026-06-05 15:00,"Charrrrrrrge!. Join us in the Tavern to get ready for a charge around Otherworld! War paint, braiding, and liquid courage offered.",Nauti Norse
2026-06-05 15:00,How not to die doing drugs. Like doing drugs? Like not dying? This is the talk for you! Come discuss harm reduction techniques with a harm reduction expert,Nontes
2026-06-05 15:00,"Life Drawing Workshop. Whether you love to pose, sketch, or try something new, everyone is welcome at our Life Drawing Workshop! Limited sketchbooks and pencils will be available, so feel free to bring your own supplies!",The Really Lost Penguins Chill Cave
2026-06-05 15:00,"Nadia’s Birthday Bash!. Did your last birthday suck? Come experience the birthday you wish you had & celebrate our favourite campmate with an OW-birthday. Cupcakes, treats, raunchy beats, pin-the-tail- on-the-raver, pinatas, magic? Who the fuck knows…come party, leave happy.",Portal Lounge
2026-06-05 15:00,"The Hanging Garden Initiative. Learn to make a macramé plant holder— no experience needed. All supplies included, plus a free plant to take home. Knot, loop, chat with others, and vibe to ambient daytime beats.",RaveForest Cafe
2026-06-05 15:00,"Camp Proud of You. Enjoy positive parenting with tea and scones. We offer nonjudgemental listening, loving support, advice (if you want it) and a wholesome mom and dad vibe. We are so glad you are here. We appreciate your unique presence",Vic Drip
2026-06-05 15:00,"Fish Prints. Create art from an underwater chum in the style of Gyotaku, the Japanese art of making fish prints! Using paint and the participant’s choice of a moist, freshly caught local fish or plastic stand-in, develop new appreciation for the wonder of scales!",Ripple Effect
2026-06-05 15:00,"Synesthetic Sound Sanctuary. Input overload? Drop in and output some cosmic racket. Bring your instrument, your freakiest self, and your third eye for an open jam inside the Sensuary.",Sensuary Camp
2026-06-05 15:00,Sloplandia’s Baja Fish Tacos & Margarita Bar. Taco-fuelled mayhem returns to Sloplandia. Come get blasted into flavour country. 100 person limit while supplies and dignity last.,Sloplandia
2026-06-05 15:00,"Stardust “Afternoon Delight” Dance Party. Saddle up cowpokes! The Stardust Saloon is hosting a hoedown. Expect space-y grooves, out-of-this-world moves, the wheel- o-fun, and cosmic juices to fuel up your get-down.",Stardust Saloon
2026-06-05 15:00,"Medieval Foam Sword Play. Foam Sword play fighting with Master Godvonrav. Ever wanted to sword fight your friends? Come on by for a chance to pick up a foam sword, learn how to lunge and dodge, and duel for Otherworld sword fending Champion!",Camp Who Says Ni
2026-06-05 15:00,Disco strands. A hair tinsel experience-strands of tinsel are installed so your hair catches the light all weekend long!,The Cottage
2026-06-05 15:00,70’s - Studio 54. Dance to some dazzlingly decadent disco.,The Cottage
2026-06-05 15:00,Disco Strands Hair Design. Come get tiny threads of tinsel light woven into your hair so you can shimmer like a piece of night magic!,The Cottage
2026-06-05 15:00,"Tavern Time with Bardy B. A wild Bard appears! Bardy B has crashed through the portal, constitution save failed, and isn’t leaving until everyone knows the words. Sea shanties! Ancient Celtic bangers! Songs about roseate equestrian establishments! Bring your voice & a flagon.",The Fizzy Familiar
2026-06-05 15:00,"Come for the Titties, Stay for Revolution. It’s anti-colonial, intersectional feminist reading hour and the dommes will make sure you absorb every… single… word. Don’t be late. +19",Thirst Trap
2026-06-05 15:00,"Re-wilding yoga and dance flow. ROOTS grounding through your feet, WATER flowing through your hips, FIRE alive in your core, AIR expanding in your breath, & the FREEDOM of your authenticity",Playing with the Elements
2026-06-05 15:00,"The Good Dark with Marie Metaphor and
Robbie Sherriff. The Good Dark features new spoken word poetry by Marie Metaphor and original musical accompaniment by Robbie Sherriff. These poem-songs explore the frontiers where light meets dark, where gratitude meets grief and  here worry meets love",The Graveyard
2026-06-05 15:00,"Social Experiments. YOU are the lab rats. Part social petri dish, part tea-fueled craft circle, we’re dissecting connection with precision. Grab a cuppa tea (chilled if it’s hot out) and engage in the social experiment activities",Harmonious Haberdashery
2026-06-05 15:30,Shaft Shack. Come enjoy the finest cocktail you’ll ever have and get shafted. Stay for the greatest game show; Can You Lick It?,NERRRRRDS
2026-06-05 15:30,"Chakra Toning with Taiya. Guided vocal chakra toning. Align your chakras, body, mind and soul with your voice.",True Love Temple
2026-06-05 15:33,"Pole and Lube wrestling. This might happen? You don’t know what to expect, and neither do we. We will keep working your way and bring the things and see what happens .",Empowerment Camp
2026-06-05 15:33,"The Mandatory Tinfoil Hat Making Workshop. Block the “Big Dust” mind-beams! Join us to craft high- fashion cranium shields. Learn Crinkle Theory, avoid “Brain-Boil,” and look like a stylish baked potato. 100% signal privacy for the truly paranoid.",Flamingo camp
2026-06-05 15:33,Treasure Box. Come Hither all ye children and inner children to the Inner Child Post Box to find the box of old treasures. There’s one for everyone but leave the rest for your mates. Yarrr. (Open 9am-2am - come by anytime),Reframing
2026-06-05 15:45,Sandstorm- sing-along. Shhhhhh can you hear it? Let the winds of sand blow you towards Cult de sac. Maybe you’ll learn the ancient sounds of Acapella Sandstorm.,Temple of Jeff
2026-06-05 16:00,"Rope Workshop. Gabriel (7 years exp) leads a fun shibari rope workshop. Focusing on connection, safety and consent, learn how to use the humble single column tie for spicy bedroom play. Solo or partnered, everyone is welcome! Bring rope or borrow ours (19+)",Babylon
2026-06-05 16:00,Breathwave Ceremony. Feeling stimmed? Come regulate your nervous system with a gently guided approach to Conscious Connected Breathwork. Reconnecting you to the magic that you are.,Healing Kiss
2026-06-05 16:00,"Make Moist Balls Moister. Juggling at all Levels: Squeeze, roll, and fondle your way to perfectly plump, moisture-proof juggling balls. Then toss ’em around in lessons for all levels—get as moist as you want without a soggy flop. Slippery skills, cheeky fun!",Steeped in Art
2026-06-05 16:00,"Mahjong Lounge Open. Learn, play, watch, laugh, and let the tiles decide your fate. A cozy social table for first-timers and seasoned tile whisperers.",Mahjong Camp
2026-06-05 16:00,Classical hour with Markus and friends. Any classical musicians feel free to come join in,Tune Town Stage
2026-06-05 16:00,"Casino of Many Things. Bring your best bartering items to the Casino, test your mind, body and spirit against the house, winner takes all! No item? No problem, tasks can build credit at the Casino. Come on by and try your luck!",Picnic Party
2026-06-05 16:00,"Can You Lick It?. …and how moist is it?! Team up & spin the wheel, or watch & cheer on the chaos. 16+ game",NERRRRRDS
2026-06-05 16:00,"Shocking Grasp. Looking to bring a spark to your bedroom? A casual introduction to electrical play. Safety, equipment, and the do’s and don’ts. 19+",Welcome to Arcadia
2026-06-05 16:00,"Ask a Marine Biologist! (we might know). Drop in for an “ask-anything” one-on-one chat with marine biologists! Kelp, salmon, tentacles, spawning, whelks, tsunamis, whales, and whatever else! “I don’t know” is often the best answer in science…",Ripple Effect
2026-06-05 16:00,"Golden Hour at Thirst Trap. Enjoy a cold sip of homemade brews, refreshments and elixirs on tap at Thirst Trap, including a variety of meads and non-alc options. Live lounge DJ sets to accompany.",Thirst Trap
2026-06-05 16:00,"Pledge to House Slut. Official slut citizenship ceremony. Don the red veil, recite the words, leave soaked.",Slut Camp
2026-06-05 16:20,"Happy Hour Art Parade. Do you love side quests? Or are you an overwhelmed newbie? Maybe you leave Otherworld every year realizing you never took the time to check out all that is to be had downstairs. Royal Circus Theme, come all you Clownz, Quings and Keens!",Base Camp
2026-06-05 16:20,Clam Bake. Celebrate 420 at the Pearl Palace with a gaggle of messy mollusks,The Mollusk Nation
2026-06-05 16:30,"Polnik & Snook’s Polka and Snacks. Partake in savory probiotic preserves picnic style, serenaded by satisfying polka",Campocalypse
2026-06-05 16:30,"Expand Your Kitchen Table - ENM Speed Friending. Curious or practicing ENM? Our team of Plant- Based Poly Piggies wants to help you find the community of your dreams! Expand your kitchen table polycule and meet some like-minded pals using our rapid-fire, get-to- know-ya questions.",Six Degrees of Bacon
2026-06-05 16:30,"ZenThai Shiatsu Partner Massage. Root into presence, connection and touch beneath the canopy for a guided fusion of Thai massage, Zen Shiatsu & Osteothai. No exp needed. Arrive with clean feet, clothes on, and an open heart.",The Mother Tree
2026-06-05 16:30,True Love Parade. Join us in a colorful procession where each step is a declaration of affection and every movement a testament to our interconnectedness. Celebrate love and unity in community.,True Love Temple
2026-06-05 16:45,"Co-Regulation Magic. Come get grounded and explore game-changing practices for connection. We’ll use sounding, breath & gentle, embodied contact. Warning: Side effects may include deep relaxation & the warm fuzzies. Hosted by certified sex & intimacy educator Maxine",True Love Temple
2026-06-05 17:00,"Hair Help. Having a bad hair day? Can’t pull off the style you were hoping for? Has your hair become disarrayed and your camp too far away? Get hair styling help at the Moistly Helpful Help Desk from completely inexperience, unqualified stylists.",Moistly Helpful Help Desk
2026-06-05 17:00,"CULT-DE-SAC Block Party. CULT-DE-SAC is a hot new downstairs neighborhood made up of Temple of Jeff, Fafffway Village, The Magic Mystery Bus, CAMP CAMP, and Picnic Party. Each camp will have their own BLOCK PARTY offerings! This isn’t just a dead end, it’s a CULT! Formal Friday Attire requested.",Picnic Party
2026-06-05 17:00,"Contact Juggling- 0 to Hero with Lukas. Create powerful illusions and impressive gravity defying balance. Master the art of isolation, balance, and rolling. Here to share some knowledge for the next generation of orb wizards! Please bring your own ball(s) if you have them.",Big Top Rouge
2026-06-05 17:00,"Mystic Redneck Super Serious Sillymony. Where hyper new-age spirituality and profane foolery meet in an ancient Mystic Redneck ritual vortex of rip-roarin back-40 galactivation. Come for some dirty n’ offensive ascension, ol’ fashion cosmic absurdity, and let’s Make Atlantis Great Again!",Camp Mystic Redneck
2026-06-05 17:00,"Shark Tank. A pitch competition where players (min. 2) draw shark cards from a deck, read the species facts aloud for the group, and must convince everyone else which shark is the best. You do not need to pitch the shark you drew but everyone does need to agree.",Camp UMAMI
2026-06-05 17:00,"Spiced Cider/Mead. All natural, liquid inebriants, courtesy of our apple and/or bee friends.",Camp Who Says Ni
2026-06-05 17:00,"Formal Friday Block Party. Formal Friday Block Party with The Fafffway Village & Cult-de-sac. 5-7pm: see you in your Friday best on F Street for our Glizzy Gala, Pickle Fountain, Cat Tree Portraits, Confession Concession, Captain’s Cocktail Hour, Casino of Many Things & more!",Faffway Village
2026-06-05 17:00,"Gin and Tonic Blackout Poetry. You bring the gin, we bring everything else! Join us to distill and share sonnets and soliloquies from seducing romance novels. Cozy spots to sit, no experience required.",Harmonious Haberdashery
2026-06-05 17:00,"Friday Kick-off with Yours Truly. Truly, this is yours.",Ironic Spin
2026-06-05 17:00,Captain’s Cocktail Hour and Cabaret. Swing by the Salty Seal Lounge and take in our low bar entertainment and whatever cocktail your drinks package will get you as the Magical Mystery Cruise departs port for the Pole(s). Special appearance by Celine Dijon.,Magical Mystery (Bus) Cruise
2026-06-05 17:00,"How To Join A Cult Workshop. Bring your red sneakers, we will be serving Kool-Aid.",Temple of Jeff
2026-06-05 17:00,"Gnoam Sweet Gnoam. A one hour whimsical birthday celebration. Frolics, fungi, and faerie brews. There’s no place like gnome.",The Fizzy Familiar
2026-06-05 17:00,"Stick In The Mud. Get that stick in the mud and join us for a guided nature stroll through the rainforest with a seasoned naturalist and forager, discovering our magical flora and fauna and their traditional uses.",The Magic Stick
2026-06-05 17:00,Flying Fuck: Slomo Nu Disco. Slomo Nu Disco,Electric Circus
2026-06-05 15:00,Blorb!. Play i-spy with a 10ft tall eyeball monster and his vibrant entourage the Playblorb Blorbies,Blorb!
2026-06-05 17:10,Blood on the Clocktower. Blood on the Clocktower (Murder Mystery Game),Tune Town Stage
2026-06-05 17:30,SLUG. Level 400 Erotica: 19+ education experience exploring the slug’s moist erotic properties. Reading of Megan Milks’ iconic “Slug” followed by experiential learning. Immerse yourself in the wetness. Towels not provided.,Smut Café
2026-06-05 17:55,"Inner Child Post Box Re-Birth through the birth canal. Arrive at Reframing and transform as you enter the secret door, travel back through the birth canal and re- birth yourself through the vulva and into the Inner Child Post Box then write your inner child a post card. (Open 9am-2am - come by anytime)",Reframing
2026-06-05 17:55,"Inner Child Post Box. Saunter out of the Reframing Art Project filled with inspiration and carry forward to your inner child, a message from the future. We will mail your postcard to you in 9 months’ time (Open 9am- 2am - come by anytime)",Reframing
2026-06-05 18:00,SLICE N’ DICE!. RRRRROLE the dice for a pizza slice! We trade fresh pizza in exchange for general tomfoolery decided by your dice role.,Bubbly Bar
2026-06-05 18:00,"Fortune Telling. Consult the wisdom of the spirit realm from a fully qualified expert, E&OE",Camp Who Says Ni
2026-06-05 18:00,"Second Annual Gary’s Chair Smashing Ceremony. Second Annual Gary’s Chair Smashing Ceremony: Repent for sitting. Sign up to smash a chair inside the Thunderdome, accompanied by a song of your choice. Sledgehammer and safety gear provided. Praise Gary.",Campocalypse
2026-06-05 18:00,"SAPPHIC SPEED DATING. SAPPHIC SPEED DATING: Expect flirty prompts, sexy eye contact, cute crushes, queer chaos and in tents chemistry. For femmes, thems, and anyone who identifies as sapphic. Come meet your next crush, best friend, situationship, or muse for the weekend.",CLuG
2026-06-05 18:00,Dyke Karaoke. Dyke Karaoke: Come belt your heart out to songs by our favourite lesbian icons. Or songs about geographical dykes. We’ll have a list.,Dyke Chilling Park
2026-06-05 18:00,"CRAIGISON (9000ears): Poolside Dad Bod Speedo Disco. Bring your armbands, floaties, swimsuits and Speedos for a strictly moist, uplifting chuggy disco house poolside party with dance music veteran lifeguard CRAIGISON (9000ears). * There will be no qualified lifeguards on duty ** There will be no pool",Electric Circus
2026-06-05 18:00,Screaming Banshee Tavern. Come make merry with some faries and sample our magical liquides! Alcoholic and non-alcoholic drinks available,Welcome to Arcadia
2026-06-05 18:00,Brews and Brawls. Grab a drink and watch our fighters clash! Cheer on your favourites while you lounge.,Welcome to Arcadia
2026-06-05 18:00,Inflatable Costume Walk. Inflatable Costume Walk: Do you have an inflatable Unicorn or TRex or other inflatable costume gathering dust in your closet? Bring it and join us for a walk around Otherworld. All inflatable costumes welcome. Meet at Empress Camp at 6 pm. Route to be determined.,Empress Camp
2026-06-05 18:00,Cabaret Dances. Cabaret Dances: Start your evening with some sexy Burlesque and Drag entertainment in the Babylon tent. Get ready to make some noise as the clothes come off and the booties start shaking! (19+),Babylon
2026-06-05 18:00,Italian Ritual Cord Magic. Italian Ritual Cord Magic: Learn the Italian folk magic of ritual cord cutting and binding with hand-spun wool,Fairytale BookHub Café & Trash Fence Kid’s Play Area
2026-06-05 18:00,Flower Bower Boutique. Flower Bower Boutique: Deflower us! ...by accessorizing yourself with fabulous clip-on flowers and other faux floral creations at our 24-hour self-service boutique. Dewiness not guaranteed. Floral fashion consultants available spore-adically.,Flower Bower
2026-06-05 18:00,"Want your mommy?. Want your mommy?: Are you making good choices? Need an intervention? A seasoned (but nowhere near perfect and maybe slightly inebriated) mom will dispense scolding, advice, oversight and support at the Moistly Helpful Help Desk for those in need of parenting.",Moistly Helpful Help Desk
2026-06-05 18:00,Mead Offering (19+). Mead Offering (19+): Come fill your cup as mead will flow freely from our tavern. Crafted by one of the nautiest of our Nauti Norse members.,Nauti Norse
2026-06-05 18:00,Orcar’s First Breach. Orcar’s First Breach: Come meet Orcar! Crack open the weekend with a toast and your best whale sound at the Orcar home base before our pod rolls out to play.,Orcar Camp
2026-06-05 18:00,"Hog Wild Happy Hour. Hog Wild Happy Hour: Come kick off the weekend at Warthog’s Apothecary! We will be serving up pig-nature cocktails/mocktails to MOIST your whistle, barnyard shenanigans and a rompin’ good time! Costumes highly encouraged, bonus points for pig ones!",Six Degrees of Bacon
2026-06-05 18:00,MILF society first AGM. Terms of reference inaugural discussion of bylaws for the MILF society,Mary Poppin's Pop Up
2026-06-05 18:09,"Mykl maff. Calling all mykls, identifying as and aspiring mykls Come learn and expand your mykl math knowledge. Inspired by the lost boys brought to you by uncle Bree",Picnic Party
2026-06-05 18:10,"Scout shorefox. You probably seen the magic, you know, you love",Tune Town Stage
2026-06-05 18:30,"PartyWolf’s Marquee Metal Montage. Sidle on up to our speaker-wall bar, crush a cold one and bang your head along to the finest selection of metal music OW has to offer while fiddling with some vintage audio gear or literally staring into The (infinity mirror table) Abyss.",The Abyss
2026-06-05 19:00,Full Power Chai. Full power Chai- serving that fire masala chai for your third eye,Chai Trance
2026-06-05 19:00,Soup Stockade. Hot soup from a cauldron to warm your weary soul,Camp Who Says Ni
2026-06-05 19:00,"Alchemy 101. Uncover the secret to transforming lead into gold, or childhood trauma into a dark sense of humor! Learn from our most qualified masters of medieval pseudoscience.",Camp Who Says Ni
2026-06-05 19:00,Open Jams. Come collaborate all skill levels welcome,Tune Town Stage
2026-06-05 19:00,Ironic Spin Crew Showcase. THE SICKEST BEATS THE DEADEST DROPS AND THE MOST SELF- INDULGENT SETS. JK- we have a good time and so will you,Ironic Spin
2026-06-05 19:00,"What Could Go Wrong. An Otherworld UnTalent Show: A celebration of mediocrity, almost- skills, and unfinished passions. Share something you’re not that good at (but love anyway) and be judged on sincerity, emotional overinvestment, and commitment to almostness. Low effort welcome.",Little Big
2026-06-05 19:00,"Matrilineal Womb Healing Ceremony. Honour the wisdom of your maternal ancestral lineage by connecting with your energetic womb space through guided meditation and embodied movement. *Please note: This ceremony is open to all women (cis & trans), non-binary & gender fluid folks.",OTHER Red Tent
2026-06-05 19:00,12 Step All Recovery Meeting at Recovery House.. 12 Step All Recovery Meeting at Recovery House.: 12 Step All Recovery Meeting. Everyone welcome!,Recovery House
2026-06-05 19:00,"Playground Dance Karaoke. Pick a song, grab the stage, and perform for the crowd. No talent required, dramatic commitment is more than enough",The Playground
2026-06-05 19:00,"Salon Saloon Friday. We don’t just offer haircuts, we tame the wildest manes. Come on down! Step right up for a haircut that’ll make you feel like the sheriff of style.",Salon Saloon
2026-06-05 19:00,"Stardust Old Time Saloon Roadshow. Stardust Old Time Saloon Roadshow: Antique, obscure, and forgotten songs remembered from a stranger time, performed on banjo, piano, and guitar.",Stardust Saloon
2026-06-05 19:00,Taconoods Crappy Appy Hour. Taconoods Crappy Appy Hour: Come crush a Taconood or two and wash ‘em down with a paired mocktail (byo a-ok) and our DJ mykonik!,Taconoods
2026-06-05 19:00,"Mother Goldblum Ssermons. Mother Goldblum Ssermons: Jeff Welcomes You! Sermons, Jefforcisms and Baptism Service. All faiths welcome. No Nic Cage allowed.",Temple of Jeff
2026-06-05 19:00,Bass In Your Boots With Leave No Trace. Bass In Your Boots With Leave No Trace: Spinning a LNT Bazaar of Bass,The Cottage
2026-06-05 19:01,Sound Habitat members appreciation evening. Sound Habitat members appreciation evening: Be part of the magic! Come joins us as we celebrate turning dreams into realities for our 3rd straight year!,Sound Habitat
2026-06-05 19:30,Electric Circus Cabaret. ,Electric Circus
2026-06-05 20:00,"Experience Babylon. Experience Babylon: 19+ Sex On Premises: A space for connection, curiosity, and unapologetic pleasure— welcome to Babylon",Babylon
2026-06-05 20:00,Ben and the Real Girl Heckle the dancers. Ben and the Real Girl Heckle the dancers: Warm Lucky GoFundMe,Ironic Spin
2026-06-05 20:00,Human Jukebox. Human Jukebox: Come and shout song requests and see if he can pull em off!,Little Big
2026-06-05 20:00,"Looping. Looping: Join your friends or meet new friends in the Looper Dome. Conversation becomes an uncanny valley. Hum, chant or drum with yourselves.",Looper Dome Camp
2026-06-05 20:00,"Echo Forest. Echo Forest: Sunset sounds from Echo Forest: deep, warm, and slightly mystical. Come move softly before the night gets weird.",Mahjong Camp
2026-06-05 20:00,Intro to Impact with Fox (19+). Intro to Impact with Fox (19+): Like a little spank and tickle? Live demos and maybe even a small opportunity to try a thing or two. Come learn about the sexy side of pain.,Nauti Norse
2026-06-05 20:00,"A Micro-BDSM Bar. A Micro-BDSM Bar: Come, submit before us while we serve you a drink with a dash of praise or punishment",Dommy Mommy Drinks
2026-06-05 20:00,Dungeons. A kinky play space for all your adventuring needs. DM on duty. Lots of equipment available. Openning time flexible on request.,Welcome to Arcadia
2026-06-05 20:00,Orcar on the Ranch. Orcar on the Ranch: Orcar resurfaces post-effigy at a new sound stage. The pod goes ‘til dawn. Follow the fluke.,A Sound Stage. oooooOOOOoooooo
2026-06-05 20:30,"Big Top Rouge’s Spectacular Circus Show!. Big Top Rouge’s Spectacular Circus Show!: The show you’ve heard wonderous things about is back. A variety of artists from various ends of the globe have come to entertain. This show will amaze, inspire and entice you into dreams and fantasies beyond your imagining.",Big Top Rouge
2026-06-05 20:30,Jetane: Uplifting House. ,Electric Circus
2026-06-05 20:30,"Glowing Balloon Jizz Crafting and Parade Guided Parade. Glowing Balloon Jizz Crafting and Parade Guided Parade: We will help you craft your very own 3 foot long light up jizz balloon, then take a guided walk/military style ridiculous march around the festival with your lovely/demanding host Alex the Ovum. Show up @ 8:30, march leaves around 9:15.",Living Womb Rebirthing Lounge @ Motherworld
2026-06-05 20:45,Moonlit Tales. Interactive storytimes for kids and kids at heart,Moonlit Tales
2026-06-05 21:00,"Electric Circus Nights. Electric Circus Nights: Liquid-light psychedelia, cosmic projection mapping and kaleidoscopic textures ripple across the tent canopy, transforming the space into a glowing immersive dreamscape all night to fantasticly curated DJs",Electric Circus
2026-06-05 21:00,"The Celestial Ramen Bowl Plounge. Stop by and embody a human noodle in our UMAMI-themed plounge. Commune with the Celestial Ramen Bowl to reveal your ramen fortune. Sundown to sunup all weekend. No ramen, unless you’re lucky.",Camp UMAMI
2026-06-05 21:00,"Onigiri Station. Onigiri Station: Pawson @ FurTail Alley: Just a little side street kon- bean-i party with fresh plant-based onigiri by Tora, green tea, libations and live DJs creating a vibe that furry spaces are famous for",FurTail Alley
2026-06-05 21:00,"High Tide Sunset Party. High Tide Sunset Party: The playa is dry. We are NOT. Come get shucked up at Nauticlub & The Snail Bar, we’ll be slinging moist tunes, Bloody Clamidias and Slug Bites until the tide rolls out. Follow the snail trail",The Mollusk Nation
2026-06-05 21:00,Queeriosity Night (19+). Queeriosity Night (19+): Join us in our Tantric Tavern for a SOP queer- themed night. Space is only for queer folx and their allies.,Nauti Norse
2026-06-05 21:00,"Really Lost Hot Chocolate. Really Lost Hot Chocolate: Help! We’re lost! But at least we aren’t cold and lost…because we have hot chocolate! If you can find us, we’ll share it with you! Follow your penguiny senses (or your nose) to our little travelling hot chocolate cart and we’ll warm you up too!",Really Lost Penguins Chill Cave
2026-06-05 21:00,"The Fire Salon. The Fire Salon: Watch talented fire spinners gather to display their vast variety of talents, with all sorts of fire props!",The Fire Salon
